"municipio","cod_comunidad","comunidad","cod_calle","nombre_calle"
MP. DIAZ,"15-2-1-150201019-1",CERROMAR,"15-2-1-150201019-1PROV/1",CALLE 2
MP. DIAZ,"15-2-1-150201008-3",LOTIFICACIÓN HAIDE,"15-2-1-150201008-3PROV/1",CALLE VISTA AL MAR
MP. DIAZ,"15-2-2-150202008-1",BRISAS DEL VALLE,"15-2-2-150202008-1-18",CALLE URDANETA
MP. DIAZ,"15-2-1-150201002-1",LOS FERMINES,"15-2-1-150201002-1PROV/1",ENTRADA PUERTO DE TABLAS COLINA MAMA RITA
MP. DIAZ,"15-2-1-150201022-3",CAPILLA NUESTRO ESFUERZO,"15-2-1-150201022-3PROV/1",CALLE ALI PRIMERA Y LAS PALMAS
MP. DIAZ,"15-2-1-150201012-6",VILLAS BOLIVARIANAS,"15-2-1-150201012-6PROV/1",CALLE 2
MP. DIAZ,"15-2-2-150202011-1",MADURO MOROS,"15-2-2-150202011-4","CALLE SANTA BARBARA , LOS ANGELES, GUILARTE"
MP. DIAZ,"15-2-2-150202011-1",MADURO MOROS,"15-2-2-150202011-7",CALLE CARACUEY
MP. MANEIRO,"15-4-1-150401006-2",CURIEPE,"15-4-1-150401006-2PROV/1",CALLE ALTOS DE MANEIRO
MP. MARIÑO,"15-6-1-150601008-24",URB LOMAS DE MARGARITA,"15-6-1-150601008-24PROV/1",CALLE 5 Y 6
MP. MARIÑO,"15-6-1-150601031-1",LANCEROS DE LLANO ADENTRO,"15-6-1-150601031-1PROV/1",SAN RAFAEL
MP. GOMEZ,"15-3-2-150302001-8",LOS ANDES Y MURECHE,"15-3-2-150302001-8-2",COMPLEJO PLASTICO Y RANCHON
MP. GOMEZ,"15-3-1-150301009-3",LOMAS DEL GRIEGO,"15-3-1-150301009-3-3","CALLE A, B, C, D Y LOMA DEL GRIEGO"
MP. MANEIRO,"15-4-2-150402009-6",JORGE COLL,"15-4-2-150402009-6PROV/5",URB. LA MANEIRO
MP. MANEIRO,"15-4-2-150402009-6",JORGE COLL,"15-4-2-150402009-6PROV/3",EDIF. MARGARITA SOL
MP. MANEIRO,"15-4-2-150402009-6",JORGE COLL,"15-4-2-150402009-6PROV/1",AV DAMASO VILLALBA
MP. MARIÑO,"15-6-1-150601009-1",COSTA AZUL,"15-6-1-150601009-1PROV/1","DANDY,MARGARITA REGENCY,ATENEA,SOLARIUM,CARIBES COUNTRY,HELIOS,COSTAZUL PLAZA,OMNI Y LA MARINA"
MP. GARCIA,"15-11-2-151102015-4",VILLAS SAN ANTONIO B2,"15-11-2-151102015-4-12",CALLE 15
MP. GARCIA,"15-11-2-151102015-4",VILLAS SAN ANTONIO B2,"15-11-2-151102015-4-13",CALLE 14
MP.VILLALBA(I.COCHE),"15-8-2-150802001-2",EL AMPARO,"15-8-2-150802001-2PROV/2",CORAZÓN DE JESÚS
MP.VILLALBA(I.COCHE),"15-8-2-150802001-2",EL AMPARO,"15-8-2-150802001-2PROV/1",SAN RAFAEL ALCANGEL
MP. MARIÑO,"15-6-1-150601004-4",BRASIL 2,"15-6-1-150601004-4PROV/1",ZAMORA
MP. MARIÑO,"15-6-1-150601009-2",SABANAMAR,"15-6-1-150601009-2PROV/1",EDIF. ITAMAR
